,index,longitude_x,latitude_x,Visibility (km),Year,Month,Day,latitude_y,longitude_y,Station Name,Mean Temp (C),data,Count,longitude,latitude,MonthDayYear
23,23,-114.01000000000006,51.11999999999998,34.654166666666676,2018,1,24,51.12,-114.01,CALGARY INTL A,-0.7,Weather,14,-1596.7418667544252,714.3993430112372,01/24/2018
24,24,-114.01000000000006,51.11999999999998,11.334782608695654,2018,1,25,51.12,-114.01,CALGARY INTL A,,Weather,17,-1939.0168459919912,867.9227969146162,01/25/2018
25,25,-114.01000000000006,51.11999999999998,29.429166666666674,2018,1,26,51.12,-114.01,CALGARY INTL A,-11.2,Weather,22,-2509.652837590927,1122.4188357498172,01/26/2018
26,26,-114.01000000000006,51.11999999999998,11.149999999999999,2018,1,27,51.12,-114.01,CALGARY INTL A,-16.0,Weather,30,-3421.780445169997,1531.118999555666,01/27/2018
27,27,-114.01000000000006,51.11999999999998,21.187500000000004,2018,1,28,51.12,-114.01,CALGARY INTL A,-17.0,Weather,22,-2508.222162653051,1122.896955243801,01/28/2018
28,28,-114.01000000000006,51.11999999999998,34.07083333333333,2018,1,29,51.12,-114.01,CALGARY INTL A,-4.6,Weather,16,-1824.8626017492236,816.7648744727859,01/29/2018
29,29,-114.01000000000006,51.11999999999998,39.604166666666664,2018,1,30,51.12,-114.01,CALGARY INTL A,0.8,Weather,17,-1939.2261750961802,868.2189015561887,01/30/2018
30,30,-114.01000000000006,51.11999999999998,9.725,2018,1,31,51.12,-114.01,CALGARY INTL A,-11.7,Weather,13,-1482.4127396116942,663.637445767805,01/31/2018
31,31,-114.01000000000006,51.11999999999998,10.124999999999998,2018,2,1,51.12,-114.01,CALGARY INTL A,-15.9,Weather,21,-2395.0465860431045,1072.1348674916019,02/01/2018
32,32,-114.01000000000006,51.11999999999998,6.9750000000000005,2018,2,2,51.12,-114.01,CALGARY INTL A,-19.4,Weather,29,-3307.595475786237,1480.6309928882604,02/02/2018
33,33,-114.01000000000006,51.11999999999998,4.834782608695652,2018,2,3,51.12,-114.01,CALGARY INTL A,,Weather,56,-6387.276758735817,2857.9519838870183,02/03/2018
